# r, rho, v, e
5.1356447402565973E+03 1.9634895828860540E+16 -4.5887527787831837E+04 6.6706267979747043E+32
5.1533363990242942E+03 1.9383016002237496E+16 -4.6258201725333813E+04 6.5567755043562751E+32
5.1710280577919621E+03 1.9135426027921236E+16 -4.6629857995513463E+04 6.4453428332391995E+32
5.1887197165596299E+03 1.8892034965943532E+16 -4.7002491281099705E+04 6.3362673891701956E+32
5.2064113753273268E+03 1.8652754179950616E+16 -4.7376096297333235E+04 6.2294895872674817E+32
5.2241030340949947E+03 1.8417497269411996E+16 -4.7750667791810702E+04 6.1249515924554669E+32
5.2417946928626916E+03 1.8186180004095896E+16 -4.8126200544333529E+04 6.0225972609824481E+32
5.2594863516303594E+03 1.7958720260735732E+16 -4.8502689366746759E+04 5.9223720841305456E+32
5.2771780103980273E+03 1.7735037961794700E+16 -4.8880129102785235E+04 5.8242231340221552E+32
5.2948696691657242E+03 1.7515055016259220E+16 -4.9258514627913602E+04 5.7280990114402915E+32
5.3125613279333920E+03 1.7298695262382918E+16 -4.9637840849164517E+04 5.6339497955787062E+32
5.3302529867010890E+03 1.7085884412305102E+16 -5.0018102704982775E+04 5.5417269956410368E+32
5.3479446454687568E+03 1.6876549998484074E+16 -5.0399295165058953E+04 5.4513835042176441E+32
5.3656363042364246E+03 1.6670621321868268E+16 -5.0781413230171398E+04 5.3628735523634125E+32
5.3833279630041216E+03 1.6468029401750078E+16 -5.1164451932022246E+04 5.2761526663112880E+32
5.4010196217717894E+03 1.6268706927238652E+16 -5.1548406333071245E+04 5.1911776257545584E+32
5.4187112805394863E+03 1.6072588210288680E+16 -5.1933271526377503E+04 5.1079064236330899E+32
5.4364029393071542E+03 1.5879609140238912E+16 -5.2319042635428530E+04 5.0262982273676219E+32
5.4540945980748220E+03 1.5689707139794734E+16 -5.2705714813980274E+04 4.9463133414795987E+32
5.4717862568425189E+03 1.5502821122412370E+16 -5.3093283245890598E+04 4.8679131715455653E+32
5.4894779156101868E+03 1.5318891451031612E+16 -5.3481743144950422E+04 4.7910601894320359E+32
5.5071695743778837E+03 1.5137859898105540E+16 -5.3871089754722721E+04 4.7157178997589937E+32
5.5248612331455515E+03 1.4959669606889500E+16 -5.4261318348371460E+04 4.6418508075472395E+32
5.5425528919132194E+03 1.4784265053936334E+16 -5.4652424228498363E+04 4.5694243869998049E+32
5.5602445506809163E+03 1.4611592012761918E+16 -5.5044402726976150E+04 4.4984050513759836E+32
5.5779362094485841E+03 1.4441597518638866E+16 -5.5437249204777501E+04 4.4287601239151506E+32
5.5956278682162811E+03 1.4274229834474550E+16 -5.5830959051814556E+04 4.3604578097679971E+32
5.6133195269839489E+03 1.4109438417744332E+16 -5.6225527686765578E+04 4.2934671688999522E+32
5.6310111857516167E+03 1.3947173888434496E+16 -5.6620950556912969E+04 4.2277580899258682E+32
5.6487028445193137E+03 1.3787387997967276E+16 -5.7017223137974404E+04 4.1633012648433810E+32
5.6663945032869815E+03 1.3630033599071826E+16 -5.7414340933933301E+04 4.1000681646297787E+32
5.6840861620546784E+03 1.3475064616565742E+16 -5.7812299476877008E+04 4.0380310156684613E+32
5.7017778208223463E+03 1.3322436019022970E+16 -5.8211094326825143E+04 3.9771627769764561E+32
5.7194694795900141E+03 1.3172103791290818E+16 -5.8610721071566863E+04 3.9174371182000035E+32
5.7371611383577110E+03 1.3024024907833010E+16 -5.9011175326492965E+04 3.8588283983516986E+32
5.7548527971253789E+03 1.2878157306868888E+16 -5.9412452734427650E+04 3.8013116452607183E+32
5.7725444558930758E+03 1.2734459865279846E+16 -5.9814548965467213E+04 3.7448625357087571E+32
5.7902361146607436E+03 1.2592892374263084E+16 -6.0217459716809244E+04 3.6894573762285503E+32
5.8079277734284115E+03 1.2453415515701100E+16 -6.0621180712591013E+04 3.6350730845379167E+32
5.8256194321961084E+03 1.2315990839228470E+16 -6.1025707703724147E+04 3.5816871715880387E+32
5.8433110909637762E+03 1.2180580739971606E+16 -6.1431036467725862E+04 3.5292777242029988E+32
5.8610027497314732E+03 1.2047148436935866E+16 -6.1837162808561086E+04 3.4778233882876635E+32
5.8786944084991410E+03 1.1915657952025566E+16 -6.2244082556472087E+04 3.4273033525858773E+32
5.8963860672668088E+03 1.1786074089668760E+16 -6.2651791567820030E+04 3.3776973329661764E+32
5.9140777260345058E+03 1.1658362417033244E+16 -6.3060285724919995E+04 3.3289855572183548E+32
5.9317693848021736E+03 1.1532489244811928E+16 -6.3469560935875517E+04 3.2811487503414820E+32
5.9494610435698705E+03 1.1408421608557308E+16 -6.3879613134422594E+04 3.2341681203050725E+32
5.9671527023375384E+03 1.1286127250552894E+16 -6.4290438279761380E+04 3.1880253442686181E+32
5.9848443611052062E+03 1.1165574602197656E+16 -6.4702032356399883E+04 3.1427025552406506E+32
6.0025360198729031E+03 1.1046732766892538E+16 -6.5114391373992177E+04 3.0981823291638112E+32
6.0202276786405710E+03 1.0929571503411048E+16 -6.5527511367175248E+04 3.0544476724101377E+32
6.0379193374082679E+03 1.0814061209736522E+16 -6.5941388395414833E+04 3.0114820096713739E+32
6.0556109961759357E+03 1.0700172907356098E+16 -6.6356018542841048E+04 2.9692691722322422E+32
6.0733026549436036E+03 1.0587878225991578E+16 -6.6771397918093789E+04 2.9277933866112861E+32
6.0909943137113005E+03 1.0477149388757730E+16 -6.7187522654164713E+04 2.8870392635580612E+32
